"","State","County","Violent.crime","Murder.and.nonnegligent.manslaughter","Rape..revised.definition.1","Rape..legacy.definition.2","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor.vehicle.theft","Arson3","total"
"1","AL","Autauga",68,2,8,0,6,52,414,170,199,45,0,964
"2","AL","Baldwin",98,0,4,0,18,76,662,230,405,27,0,1520
"3","AL","Bibb",4,0,1,0,0,3,82,42,34,6,0,172
"4","AL","Blount",90,0,6,0,1,83,923,311,524,88,0,2026
"5","AL","Calhoun",15,0,3,0,1,11,471,200,266,5,0,972
"6","AL","Chilton",79,0,18,0,2,59,532,223,260,49,0,1222
"7","AL","Colbert",58,0,16,0,4,38,436,131,264,41,0,988
"8","AL","Elmore",52,0,13,0,11,28,868,357,452,59,0,1840
"9","AL","Etowah",86,0,22,0,3,61,615,239,326,50,0,1402
"10","AL","Geneva",52,2,7,0,0,43,150,76,60,14,0,404
"11","AL","Hale",14,0,1,0,0,13,98,35,53,10,0,224
"12","AL","Henry",19,0,3,0,2,14,129,56,62,11,0,296
"13","AL","Houston",80,1,20,0,6,53,515,164,307,44,0,1190
"14","AL","Lawrence",66,1,11,0,8,46,435,142,247,46,0,1002
"15","AL","Limestone",82,0,11,0,2,69,585,188,362,35,0,1334
"16","AL","Lowndes",49,2,10,0,3,34,241,114,106,21,0,580
"17","AL","Madison",342,6,55,0,50,231,0,637,0,168,0,1489
"18","AL","Mobile",139,3,26,0,15,95,0,670,0,208,0,1156
"19","AL","Montgomery",20,0,5,0,7,8,220,94,104,22,0,480
"20","AL","Russell",43,4,10,0,4,25,453,159,255,39,0,992
"21","AL","St. Clair",29,0,4,0,1,24,268,185,83,0,0,594
"22","AL","Tuscaloosa",213,3,19,0,20,171,0,366,790,128,0,1710
"23","AL","Walker",103,1,12,0,10,80,0,339,580,139,0,1264
"24","AL","Barbour",17,2,2,0,2,11,128,68,55,5,0,290
"25","AL","Bullock",15,0,0,0,3,12,84,65,15,4,0,198
"26","AL","Butler",44,1,7,0,4,32,214,93,113,8,0,516
"27","AL","Chambers",4,0,0,0,2,2,96,52,43,1,0,200
"28","AL","Cherokee",49,2,8,0,2,37,388,131,216,41,0,874
"29","AL","Clarke",72,0,6,0,4,62,113,48,49,16,0,370
"30","AL","Clay",17,0,1,0,0,16,31,10,17,4,0,96
"31","AL","Coffee",28,0,7,0,2,19,203,80,96,27,0,462
"32","AL","Coosa",13,0,1,0,0,12,201,74,121,6,0,428
"33","AL","Covington",22,0,4,0,0,18,210,76,115,19,0,464
"34","AL","Crenshaw",52,1,3,0,2,46,143,56,73,14,0,390
"35","AL","Cullman",84,2,34,0,8,40,0,297,646,87,0,1198
"36","AL","Dale",29,1,9,0,0,19,190,55,119,16,0,438
"37","AL","Dallas",65,2,10,0,9,44,462,182,251,29,0,1054
"38","AL","DeKalb",128,2,28,0,4,94,810,312,427,71,0,1876
"39","AL","Escambia",24,0,0,0,6,18,133,47,78,8,0,314
"40","AL","Franklin",26,0,5,0,1,20,317,127,166,24,0,686
"41","AL","Greene",24,1,1,0,4,18,90,33,46,11,0,228
"42","AL","Jackson",81,3,20,0,0,58,588,264,274,50,0,1338
"43","AL","Lamar",16,0,2,0,0,14,29,9,18,2,0,90
"44","AL","Macon",24,0,4,0,7,13,151,64,78,9,0,350
"45","AL","Marengo",33,0,3,0,3,27,178,64,102,12,0,422
"46","AL","Marion",30,1,5,0,2,22,188,66,110,12,0,436
"47","AL","Marshall",47,0,9,0,3,35,447,220,203,24,0,988
"48","AL","Monroe",34,0,0,0,1,33,136,40,85,11,0,340
"49","AL","Pike",15,0,1,0,1,13,155,38,105,12,0,340
"50","AL","Randolph",2,0,0,0,0,2,169,81,87,1,0,342
"51","AL","Talladega",74,0,1,0,10,63,901,340,492,69,0,1950
"52","AL","Tallapoosa",19,0,9,0,0,10,146,71,63,12,0,330
"53","AL","Washington",22,0,2,0,0,20,86,25,52,9,0,216
"54","AL","Wilcox",52,2,0,0,3,47,105,38,62,5,0,314
"55","AL","Winston",15,0,6,0,0,9,86,35,47,4,0,202
"56","AZ","Coconino",91,3,17,0,3,68,459,147,300,12,39,1139
"57","AZ","Maricopa",0,17,80,0,81,936,0,0,0,476,50,1640
"58","AZ","Mohave",163,3,46,0,23,91,0,809,0,160,23,1318
"59","AZ","Pima",976,12,69,0,161,734,0,0,0,604,64,2620
"60","AZ","Pinal",194,7,56,0,16,115,0,530,0,360,13,1291
"61","AZ","Yuma",152,5,14,0,12,121,0,510,537,79,16,1446
"62","AZ","Apache",60,0,4,0,0,56,205,112,90,3,71,601
"63","AZ","Gila",76,0,1,0,1,74,398,119,247,32,8,956
"64","AZ","Graham",118,0,0,0,18,100,181,83,77,21,4,602
"65","AZ","La Paz",26,1,2,0,2,21,424,149,240,35,1,901
"66","AZ","Navajo",69,0,4,0,1,64,499,255,207,37,1,1137
"67","AZ","Santa Cruz",8,0,1,0,2,5,234,95,108,31,0,484
"68","AR","Benton",85,1,23,0,2,59,458,227,217,14,0,1086
"69","AR","Cleveland",2,0,1,0,0,1,76,39,34,3,0,156
"70","AR","Craighead",29,0,7,0,1,21,244,89,147,8,3,549
"71","AR","Crawford",52,0,6,0,0,46,367,91,242,34,2,840
"72","AR","Crittenden",102,2,8,0,6,86,348,101,218,29,2,902
"73","AR","Faulkner",116,2,25,0,4,85,0,312,752,170,5,1471
"74","AR","Garland",387,0,45,0,18,324,0,890,983,148,0,2795
"75","AR","Grant",18,0,4,0,0,14,179,45,117,17,0,394
"76","AR","Lincoln",2,0,0,0,0,2,87,33,48,6,1,179
"77","AR","Lonoke",80,0,11,0,2,67,435,76,277,82,4,1034
"78","AR","Madison",37,0,8,0,0,29,146,55,84,7,0,366
"79","AR","Miller",35,0,3,0,1,31,282,137,117,28,1,635
"80","AR","Perry",53,0,6,0,0,47,218,85,124,9,0,542
"81","AR","Poinsett",3,0,2,0,0,1,8,5,3,0,2,24
"82","AR","Pulaski",357,4,23,0,35,295,0,629,0,181,9,1533
"83","AR","Saline",213,0,18,0,8,187,727,194,456,77,3,1883
"84","AR","Sebastian",62,0,10,0,1,51,253,64,177,12,2,632
"85","AR","Washington",163,2,11,0,4,146,483,172,264,47,4,1296
"86","AR","Arkansas",7,1,0,0,1,5,133,22,90,21,0,280
"87","AR","Ashley",31,1,4,0,1,25,273,106,159,8,2,610
"88","AR","Baxter",38,0,14,0,2,22,651,174,441,36,4,1382
"89","AR","Boone",50,1,21,0,0,28,361,114,220,27,7,829
"90","AR","Calhoun",2,0,0,0,0,2,33,11,18,4,1,71
"91","AR","Carroll",43,0,7,0,1,35,178,34,126,18,6,448
"92","AR","Chicot",4,0,1,0,0,3,142,62,80,0,0,292
"93","AR","Clark",10,0,2,0,1,7,94,19,65,10,0,208
"94","AR","Cleburne",39,0,9,0,2,28,437,146,235,56,7,959
"95","AR","Columbia",29,0,1,0,0,28,105,38,51,16,2,270
"96","AR","Conway",28,0,5,0,2,21,292,49,216,27,5,645
"97","AR","Cross",31,0,5,0,1,25,161,29,114,18,0,384
"98","AR","Dallas",5,0,0,0,0,5,30,12,15,3,0,70
"99","AR","Drew",52,0,11,0,0,41,140,50,79,11,4,388
"100","AR","Franklin",38,1,11,0,1,25,186,66,111,9,2,450
"101","AR","Fulton",11,1,1,0,1,8,90,0,79,11,3,205
"102","AR","Greene",18,1,1,0,0,16,171,57,99,15,0,378
"103","AR","Hempstead",56,0,14,0,0,42,246,34,196,16,6,610
"104","AR","Howard",4,0,0,0,0,4,78,45,33,0,0,164
"105","AR","Independence",176,1,42,0,10,123,0,384,829,85,16,1666
"106","AR","Izard",24,0,5,0,0,19,329,77,241,11,3,709
"107","AR","Jackson",39,1,1,0,0,37,197,45,133,19,6,478
"108","AR","Johnson",40,1,11,0,1,27,170,98,65,7,3,423
"109","AR","Lafayette",7,0,0,0,0,7,56,15,40,1,0,126
"110","AR","Lawrence",11,0,1,0,1,9,57,19,35,3,0,136
"111","AR","Lee",2,0,0,0,1,1,10,3,7,0,0,24
"112","AR","Marion",42,0,5,0,1,36,241,74,163,4,3,569
"113","AR","Mississippi",28,0,3,0,2,23,373,83,265,25,1,803
"114","AR","Monroe",2,1,0,0,1,0,17,1,16,0,0,38
"115","AR","Montgomery",20,1,8,0,0,11,110,46,59,5,0,260
"116","AR","Nevada",5,0,2,0,0,3,33,18,14,1,0,76
"117","AR","Newton",17,0,6,0,0,11,60,34,25,1,0,154
"118","AR","Pike",13,1,5,0,0,7,68,19,45,4,2,164
"119","AR","Polk",35,0,9,0,0,26,185,54,115,16,2,442
"120","AR","Pope",60,1,15,0,0,44,414,138,247,29,2,950
"121","AR","Prairie",11,0,3,0,0,8,62,21,30,11,3,149
"122","AR","Randolph",33,4,5,0,0,24,235,91,136,8,3,539
"123","AR","Scott",20,1,3,0,1,15,104,45,57,2,4,252
"124","AR","Searcy",9,0,2,0,0,7,22,6,12,4,1,63
"125","AR","Sevier",9,0,2,0,0,7,226,79,130,17,1,471
"126","AR","St. Francis",19,0,0,0,3,16,294,76,217,1,2,628
"127","AR","Stone",13,0,4,0,0,9,140,57,75,8,2,308
"128","AR","Union",48,0,2,0,3,43,388,103,258,27,2,874
"129","AR","Van Buren",34,0,1,0,0,33,287,43,215,29,5,647
"130","AR","White",86,4,41,0,3,38,905,336,474,95,4,1986
"131","AR","Woodruff",1,0,0,0,0,1,56,7,42,7,0,114
"132","AR","Yell",39,1,13,0,2,23,228,72,140,16,4,538
"133","CA","Alameda4",588,2,26,0,182,378,0,540,887,684,8,3295
"134","CA","Butte",82,9,0,3,16,54,0,581,525,13,0,1283
"135","CA","Contra Costa",412,10,0,37,107,258,0,784,0,20,14,1642
"136","CA","El Dorado",240,3,0,30,23,184,0,625,0,56,11,1172
"137","CA","Fresno",735,10,0,22,91,612,0,0,0,558,150,2178
"138","CA","Imperial",214,1,0,6,9,198,584,247,316,21,5,1601
"139","CA","Kern4",0,26,109,0,327,0,0,0,0,0,199,661
"140","CA","Kings",144,5,0,12,11,116,427,160,236,31,1,1143
"141","CA","Los Angeles",0,71,0,201,0,0,0,0,0,0,198,470
"142","CA","Madera",383,3,0,22,18,340,0,504,621,37,7,1935
"143","CA","Marin",91,2,0,5,19,65,617,201,404,12,1,1417
"144","CA","Merced",465,15,0,9,32,409,0,490,0,43,12,1475
"145","CA","Monterey",256,7,38,0,32,179,0,439,872,30,9,1862
"146","CA","Napa",42,3,0,7,2,30,272,121,147,4,3,631
"147","CA","Orange4",252,5,27,0,23,197,0,248,789,124,8,1673
"148","CA","Placer",289,0,0,26,26,237,0,514,0,37,8,1137
"149","CA","Riverside",749,17,0,56,144,532,0,0,0,0,22,1520
"150","CA","Sacramento4",0,44,181,0,916,0,0,0,0,149,63,1353
"151","CA","San Benito",60,1,0,4,5,50,221,81,126,14,1,563
"152","CA","San Bernardino",972,18,65,0,154,735,0,0,0,0,70,2014
"153","CA","San Diego4",0,13,78,0,194,0,0,0,0,717,34,1036
"154","CA","San Joaquin4",698,10,16,0,147,525,0,0,0,138,30,1564
"155","CA","San Luis Obispo",265,2,0,10,12,241,0,521,696,9,3,1759
"156","CA","San Mateo",264,1,0,38,65,160,0,491,0,283,6,1308
"157","CA","Santa Barbara",302,11,0,41,32,218,0,487,0,5,13,1109
